Date,Amount,Account Number,,Transaction Type,Transaction Details,Balance,Category,Merchant Name,Processed On
15 Dec 25,-290.98,Card ending 8723,,CREDIT CARD PURCHASE,Woolworths Online BellaVista,-2407.22,Groceries,Woolworths Online,15 Dec 25
15 Dec 25,-25.48,Card ending 8723,,CREDIT CARD PURCHASE,SQ *FIORAMONTE BAKERY & FSunbury,-2116.24,Groceries,Square,15 Dec 25
15 Dec 25,-87.60,Card ending 8723,,CREDIT CARD PURCHASE,BRIGHTSTARK 01300668997,-2090.76,Other shopping,Bright Star Kids,15 Dec 25
15 Dec 25,-95.67,Card ending 8723,,CREDIT CARD PURCHASE,SP CREATIVE KIDS LAB SOUTH TURRAMU,-2003.16,Hobbies,Creative Kids Lab,15 Dec 25
15 Dec 25,-59.50,Card ending 8723,,CREDIT CARD PURCHASE,PHILLIPISLAND NATUREPARKSCOWES,-1907.49,Attractions & events,Phillip Island Nature Park (Cowes),15 Dec 25
15 Dec 25,-4.99,Card ending 6690,,CREDIT CARD PURCHASE,Google Sky News Austr Barangaroo,-1847.99,Electronics & technology,Google Australia,15 Dec 25
12 Dec 25,-25.00,Card ending 8723,,CREDIT CARD PURCHASE,HUME CITY COUNCIL SUNBURY,-1843.00,Travel expenses,Hume City Council (Sunbury Visitor Information Centre),12 Dec 25
12 Dec 25,-55.41,Card ending 6690,,CREDIT CARD PURCHASE,BRIGHTE CAPITAL SYDNEY,-1818.00,Loans,Brighte,12 Dec 25
12 Dec 25,-2.00,Card ending 8723,,CREDIT CARD PURCHASE,HUME CITY COUNCIL SUNBURY,-1762.59,Travel expenses,Hume City Council (Sunbury Visitor Information Centre),12 Dec 25
11 Dec 25,-85.00,Card ending 6690,,CREDIT CARD PURCHASE,TELSTRA SERVICES MELBOURNE,-1760.59,Phone & internet,Telstra,11 Dec 25
11 Dec 25,-80.00,Card ending 8723,,CREDIT CARD PURCHASE,REWIRED HAND THERAPY SUNBURY,-1675.59,Medical,Re-Wired Hand Therapy (Sunbury),11 Dec 25
10 Dec 25,-0.15,Card ending     ,,FEES,NAB INTNL TRAN FEE - (SC),-1595.59,Fees,,10 Dec 25
10 Dec 25,-14.95,Card ending 6690,,CREDIT CARD PURCHASE,POCKETSMITH DUNEDIN,-1595.44,Uncategorised,,10 Dec 25
10 Dec 25,-127.73,Card ending 8723,,CREDIT CARD PURCHASE,Woolworths Online BellaVista,-1580.49,Groceries,Woolworths Online,10 Dec 25
09 Dec 25,-784.20,Card ending 8723,,CREDIT CARD PURCHASE,DOCTORS HEALTH FND SYDNEY,-1452.76,Insurance,Doctors Health Fund,09 Dec 25
09 Dec 25,-16.27,Card ending 8723,,CREDIT CARD PURCHASE,CHEMIST WAREHOUSE SUNBURY,-668.56,Medical,Chemist Warehouse (Sunbury),09 Dec 25
08 Dec 25,-37.10,Card ending 8723,,CREDIT CARD PURCHASE,EZI*Hume City Council Craigieburn,-652.29,Government,Hume City Council (Craigieburn),08 Dec 25
08 Dec 25,-0.71,Card ending     ,,FEES,NAB INTNL TRAN FEE - (SC),-615.19,Fees,,08 Dec 25
08 Dec 25,-20.99,Card ending 6690,,CREDIT CARD PURCHASE,Netflix.com Melbourne VIC,-614.48,Subscriptions,Netflix,08 Dec 25
08 Dec 25,-71.00,Card ending 8723,,CREDIT CARD PURCHASE,SP MADE OF TOMORROW AUCKLAND,-593.49,Uncategorised,,08 Dec 25
08 Dec 25,-2.99,Card ending 6690,,CREDIT CARD PURCHASE,AD FREE FOR PRIMEVIDEO SYDNEY,-522.49,Subscriptions,Amazon Prime Video,08 Dec 25
08 Dec 25,-102.11,Card ending 8723,,CREDIT CARD PURCHASE,CHARM THAI THERAPY PTY SUNBURY,-519.50,Personal care,Charm Thai Therapy,08 Dec 25
05 Dec 25,-172.45,Card ending 8723,,CREDIT CARD PURCHASE,Woolworths Online BellaVista,-417.39,Groceries,Woolworths Online,05 Dec 25
05 Dec 25,-3.00,Card ending 8723,,CREDIT CARD PURCHASE,7-ELEVEN 1161 SUNBURY,-244.94,Fuel,7-Eleven (Sunbury),05 Dec 25
05 Dec 25,-23.35,Card ending 8723,,CREDIT CARD PURCHASE,7-ELEVEN 1161 SUNBURY,-241.94,Fuel,7-Eleven (Sunbury),05 Dec 25
04 Dec 25,-124.15,Card ending 8723,,CREDIT CARD PURCHASE,HOLLARD INSURANCE CHATSWOOD,-218.59,Insurance,Hollard Insurance,04 Dec 25
04 Dec 25,-3.24,Card ending     ,,FEES,NAB INTNL TRAN FEE - (SC),-94.44,Fees,,04 Dec 25
04 Dec 25,-9.99,Card ending 8723,,CREDIT CARD PURCHASE,APPLE.COM/BILL SYDNEY,-91.20,Subscriptions,Apple (App Store),04 Dec 25
04 Dec 25,-153.04,Card ending 8723,,CREDIT CARD PURCHASE,HOLLARD INSURANCE CHATSWOOD,-81.21,Insurance,Hollard Insurance,04 Dec 25
04 Dec 25,-105.75,Card ending 8723,,CREDIT CARD PURCHASE,BIG W/HORNE STREET SUNBURY,71.83,Other shopping,BIG W (Sunbury),04 Dec 25
04 Dec 25,-323.52,Card ending 8723,,CREDIT CARD PURCHASE,SP HUME HEALTH HUMEHEALTH.CODE,177.58,Uncategorised,,04 Dec 25
04 Dec 25,-266.81,Card ending 8723,,CREDIT CARD PURCHASE,AGL SALES 0308 MELBOURNE,501.10,Utilities,AGL,04 Dec 25
04 Dec 25,-99.61,Card ending 8723,,CREDIT CARD PURCHASE,CHEMIST WAREHOUSE GISBORNE,767.91,Medical,Chemist Warehouse (Gisborne Village),04 Dec 25
03 Dec 25,-80.00,Card ending 8723,,CREDIT CARD PURCHASE,REWIRED HAND THERAPY SUNBURY,867.52,Medical,Re-Wired Hand Therapy (Sunbury),03 Dec 25
03 Dec 25,323.52,Card ending 6690,,CREDIT CARD PAYMENT,INTERNET PAYMENT Linked Acc Trns,947.52,Internal transfers,,03 Dec 25
03 Dec 25,3490.79,Card ending 6690,,CREDIT CARD PAYMENT,INTERNET PAYMENT Linked Acc Trns,624.00,Internal transfers,,03 Dec 25
02 Dec 25,-47.15,Card ending 6690,,CREDIT CARD PURCHASE,SNAP FITNE* SNAP FITNE SUNBURY,-2866.79,Gym & fitness,Snap Fitness (Sunbury),02 Dec 25
01 Dec 25,-350.00,Card ending 8723,,CREDIT CARD PURCHASE,TELSTRA PREPAID MELBOURNE,-2819.64,Phone & internet,Telstra Prepaid,01 Dec 25
01 Dec 25,-50.35,Card ending 8723,,CREDIT CARD PURCHASE,FLEXISCHOOLS*ACC TOPUP 1300361769,-2469.64,Education,Flexischools,01 Dec 25
01 Dec 25,-17.85,Card ending 8723,,CREDIT CARD PURCHASE,MCDONALDS GISBORNE GISBORNE SOUT,-2419.29,Restaurants & takeaway,McDonald's (Gisborne),01 Dec 25
01 Dec 25,-4.49,Card ending 8723,,CREDIT CARD PURCHASE,Google One Barangaroo,-2401.44,Electronics & technology,Google Australia,01 Dec 25
01 Dec 25,-114.16,Card ending 8723,,CREDIT CARD PURCHASE,BALL COURT HOTEL SUNBURY,-2396.95,Restaurants & takeaway,Ball Court Hotel,01 Dec 25
01 Dec 25,-429.87,Card ending 6690,,CREDIT CARD PURCHASE,Zurich Australia Limited North Sydney,-2282.79,Insurance,Zurich,01 Dec 25
01 Dec 25,-245.60,Card ending 8723,,CREDIT CARD PURCHASE,Woolworths Online BellaVista,-1852.92,Groceries,Woolworths Online,01 Dec 25
01 Dec 25,-16.99,Card ending 6690,,CREDIT CARD PURCHASE,Google YouTubePremium Barangaroo,-1607.32,Subscriptions,YouTube,01 Dec 25
28 Nov 25,-214.22,Card ending 8723,,CREDIT CARD PURCHASE,Woolworths Online BellaVista,-1590.33,Groceries,Woolworths Online,28 Nov 25
28 Nov 25,-9.99,Card ending 6690,,CREDIT CARD PURCHASE,AMZNPRIMEAU MEMBERSHIP SYDNEY SOUTH,-1376.11,Subscriptions,Amazon Prime Membership,28 Nov 25
28 Nov 25,-55.41,Card ending 6690,,CREDIT CARD PURCHASE,BRIGHTE CAPITAL SYDNEY,-1366.12,Loans,Brighte,28 Nov 25
28 Nov 25,-1.49,Card ending 8723,,CREDIT CARD PURCHASE,APPLE.COM/BILL SYDNEY,-1310.71,Subscriptions,Apple (App Store),28 Nov 25
27 Nov 25,-184.00,Card ending 8723,,CREDIT CARD PURCHASE,BUNNINGS 395000 SUNBURY,-1309.22,Home improvements,Bunnings (Sunbury),27 Nov 25
27 Nov 25,-16.45,Card ending 6690,,CREDIT CARD PURCHASE,Audible Limited AU MELBOURNE,-1125.22,Subscriptions,Audible,27 Nov 25
26 Nov 25,-80.00,Card ending 8723,,CREDIT CARD PURCHASE,REWIRED HAND THERAPY SUNBURY,-1108.77,Medical,Re-Wired Hand Therapy (Sunbury),26 Nov 25
26 Nov 25,-66.00,Card ending 8723,,CREDIT CARD PURCHASE,BIG W/HORNE STREET SUNBURY,-1028.77,Other shopping,BIG W (Sunbury),26 Nov 25
26 Nov 25,-29.00,Card ending 8723,,CREDIT CARD PURCHASE,BIG W/HORNE STREET SUNBURY,-962.77,Other shopping,BIG W (Sunbury),26 Nov 25
26 Nov 25,-41.80,Card ending 8723,,CREDIT CARD PURCHASE,WOOLWORTHS/25-47 HORNE STSUNBURY,-933.77,Groceries,Woolworths (Sunbury),26 Nov 25
26 Nov 25,-15.00,Card ending 6690,,CREDIT CARD PURCHASE,Delivery Unlimited BellaVista,-891.97,Groceries,Woolworths,26 Nov 25
25 Nov 25,-90.00,Card ending 8723,,CREDIT CARD PURCHASE,EZI*JOHN TRAVERS PHOTO Ringwood,-876.97,Other shopping,EziDebit,25 Nov 25
25 Nov 25,-58.01,Card ending 8723,,CREDIT CARD PURCHASE,The Curve Thai RestaurantSydney,-786.97,Uncategorised,,25 Nov 25
25 Nov 25,-46.98,Card ending 8723,,CREDIT CARD PURCHASE,CHEMIST WAREHOUSE NEWCASTLE,-728.96,Medical,Chemist Warehouse Newcastle,25 Nov 25
24 Nov 25,-33.19,Card ending 8723,,CREDIT CARD PURCHASE,Menulog Pty Ltd Sydney,-681.98,Restaurants & takeaway,Menulog,24 Nov 25
24 Nov 25,13000.00,Card ending 6690,,CREDIT CARD PAYMENT,INTERNET PAYMENT flights,-648.79,Internal transfers,,24 Nov 25
24 Nov 25,-20.57,Card ending 6690,,CREDIT CARD PURCHASE,Microsoft-G125597803 Sydney,-13648.79,Electronics & technology,Microsoft,24 Nov 25
24 Nov 25,-151.00,Card ending 8723,,CREDIT CARD PURCHASE,STOMP WINEMAKING & CON LOVEDALE,-13628.22,Alcohol,Stomp Wines,24 Nov 25
24 Nov 25,-8.20,Card ending 8723,,CREDIT CARD PURCHASE,SQ *KERRIE KELLY Pokolbin,-13477.22,Other shopping,Square,24 Nov 25
