Date,Amount,Account Number,,Transaction Type,Transaction Details,Balance,Category,Merchant Name,Processed On
29 Sep 25,-80.00,Card ending 8723,,CREDIT CARD PURCHASE,SP MIRRABOOKA PROTEI TORQUAY,-398.07,Medical,Mirrabooka Protein,29 Sep 25
29 Sep 25,-60.00,Card ending 8723,,CREDIT CARD PURCHASE,LAMANNA SUPERMARKET ESSENDON FIEL,-318.07,Groceries,LaManna Supermarket (Essendon Fields Airport),29 Sep 25
29 Sep 25,-15.00,Card ending 8723,,CREDIT CARD PURCHASE,MONKEYBOAT PICTURES ESSENDON,-258.07,Services,Monkeyboat Pictures,29 Sep 25
29 Sep 25,-216.59,Card ending 8723,,CREDIT CARD PURCHASE,Woolworths Online BellaVista,-243.07,Groceries,Woolworths Online,29 Sep 25
29 Sep 25,-9.99,Card ending 6690,,CREDIT CARD PURCHASE,AMZNPRIMEAU MEMBERSHIP SYDNEY SOUTH,-26.48,Subscriptions,Amazon Prime Membership,29 Sep 25
29 Sep 25,-1.49,Card ending 8723,,CREDIT CARD PURCHASE,APPLE.COM/BILL SYDNEY,-16.49,Subscriptions,Apple (App Store),29 Sep 25
26 Sep 25,-15.00,Card ending 6690,,CREDIT CARD PURCHASE,Delivery Unlimited BellaVista,-15.00,Groceries,Woolworths,26 Sep 25
25 Sep 25,-117.19,Card ending 8723,,CREDIT CARD PURCHASE,CHANTAL RENEE GANGEMI Sunbury,0.00,Medical,Dr Chantal Gangemi (Vineyard Medical Centre),25 Sep 25
25 Sep 25,-180.74,Card ending 8723,,CREDIT CARD PURCHASE,Woolworths Online BellaVista,117.19,Groceries,Woolworths Online,25 Sep 25
25 Sep 25,-20.57,Card ending 6690,,CREDIT CARD PURCHASE,MICROSOFT#G114788389 MSBILL.INFO,297.93,Electronics & technology,Microsoft,25 Sep 25
24 Sep 25,1914.02,Card ending 6690,,CREDIT CARD PAYMENT,INTERNET PAYMENT Linked Acc Trns,318.50,Internal transfers,,24 Sep 25
23 Sep 25,-38.00,Card ending 8723,,CREDIT CARD PURCHASE,SUNBURY COMMUNITY SUNBURY,-1595.52,Medical,Sunbury Community Health Centre,23 Sep 25
23 Sep 25,-47.15,Card ending 6690,,CREDIT CARD PURCHASE,SNAP FITNE* SNAP FITNE SUNBURY,-1557.52,Gym & fitness,Snap Fitness (Sunbury),23 Sep 25
22 Sep 25,-136.96,Card ending 8723,,CREDIT CARD PURCHASE,AMPOL ROMSEY 30031F ROMSEY,-1510.37,Fuel,Ampol Foodary (Romsey),22 Sep 25
22 Sep 25,-11.87,Card ending     ,,INTEREST CHARGED,INTEREST ON PURCHASE(S),-1373.41,Fees,,22 Sep 25
22 Sep 25,-211.57,Card ending 8723,,CREDIT CARD PURCHASE,SUNBURY INDOOR SPORTS SUNBURY,-1361.54,Gym & fitness,,22 Sep 25
22 Sep 25,-170.48,Card ending 8723,,CREDIT CARD PURCHASE,Woolworths Online BellaVista,-1149.97,Groceries,Woolworths Online,22 Sep 25
22 Sep 25,-127.06,Card ending 8723,,CREDIT CARD PURCHASE,WOOLWORTHS/90 VINEYARD RDSUNBURY,-979.49,Groceries,Woolworths (Sunbury South),22 Sep 25
19 Sep 25,-1.00,Card ending 8723,,CREDIT CARD PURCHASE,HUME CITY COUNCIL SUNBURY,-852.43,Travel expenses,Hume City Council (Sunbury Visitor Information Centre),19 Sep 25
19 Sep 25,-55.41,Card ending 6690,,CREDIT CARD PURCHASE,BRIGHTE CAPITAL SYDNEY,-851.43,Loans,Brighte,19 Sep 25
19 Sep 25,-152.55,Card ending 8723,,CREDIT CARD PURCHASE,Woolworths Online BellaVista,-796.02,Groceries,Woolworths Online,19 Sep 25
18 Sep 25,-3.00,Card ending 8723,,CREDIT CARD PURCHASE,HUME CITY COUNCIL SUNBURY,-643.47,Travel expenses,Hume City Council (Sunbury Visitor Information Centre),18 Sep 25
18 Sep 25,-42.99,Card ending 6690,,CREDIT CARD PURCHASE,Google HuntStand GPS Barangaroo,-640.47,Electronics & technology,Google Australia,18 Sep 25
17 Sep 25,-60.50,Card ending 8723,,CREDIT CARD PURCHASE,BIG W/HORNE STREET SUNBURY,-597.48,Other shopping,BIG W (Sunbury),17 Sep 25
16 Sep 25,-38.00,Card ending 8723,,CREDIT CARD PURCHASE,SUNBURY COMMUNITY SUNBURY,-536.98,Medical,Sunbury Community Health Centre,16 Sep 25
16 Sep 25,-156.98,Card ending 8723,,CREDIT CARD PURCHASE,Woolworths Online BellaVista,-498.98,Groceries,Woolworths Online,16 Sep 25
15 Sep 25,-15.00,Card ending 8723,,CREDIT CARD PURCHASE,MACEDONRANGESSHIRECOUNCILKYNETON,-342.00,Government,Macedon Ranges Shire Council,15 Sep 25
15 Sep 25,-181.85,Card ending 8723,,CREDIT CARD PURCHASE,Woolworths Online BellaVista,-327.00,Groceries,Woolworths Online,15 Sep 25
15 Sep 25,-3.80,Card ending 8723,,CREDIT CARD PURCHASE,WOOLWORTHS/90 VINEYARD RDSUNBURY,-145.15,Groceries,Woolworths (Sunbury South),15 Sep 25
15 Sep 25,-55.67,Card ending 8723,,CREDIT CARD PURCHASE,LS Mount Macedon Winer Woodend,-141.35,Attractions & events,Mount Macedon Winery,15 Sep 25
15 Sep 25,-24.41,Card ending 8723,,CREDIT CARD PURCHASE,Marnong Estate Mickleham,-85.68,Alcohol,Marnong Estate,15 Sep 25
15 Sep 25,1802.84,Card ending 6690,,CREDIT CARD PAYMENT,INTERNET PAYMENT Linked Acc Trns,-61.27,Internal transfers,,15 Sep 25
15 Sep 25,-30.51,Card ending 8723,,CREDIT CARD PURCHASE,Marnong Estate Mickleham,-1864.11,Alcohol,Marnong Estate,15 Sep 25
15 Sep 25,-23.39,Card ending 8723,,CREDIT CARD PURCHASE,Marnong Estate Mickleham,-1833.60,Alcohol,Marnong Estate,15 Sep 25
15 Sep 25,-15.40,Card ending 8723,,CREDIT CARD PURCHASE,Gaffney's Bakery Heathcote,-1810.21,Groceries,Gaffney's Bakery (Heathcote),15 Sep 25
15 Sep 25,-11.18,Card ending 8723,,CREDIT CARD PURCHASE,Catch 90 Sunbury,-1794.81,Restaurants & takeaway,Catch 90,15 Sep 25
15 Sep 25,-20.14,Card ending 8723,,CREDIT CARD PURCHASE,LINKT MELBOURNE MELBOURNE,-1783.63,Travel expenses,Linkt,15 Sep 25
12 Sep 25,-147.27,Card ending 8723,,CREDIT CARD PURCHASE,AGL SALES 0308 MELBOURNE,-1763.49,Utilities,AGL,12 Sep 25
12 Sep 25,-2.00,Card ending 8723,,CREDIT CARD PURCHASE,HUME CITY COUNCIL SUNBURY,-1616.22,Travel expenses,Hume City Council (Sunbury Visitor Information Centre),12 Sep 25
12 Sep 25,-2.00,Card ending 8723,,CREDIT CARD PURCHASE,HUME CITY COUNCIL SUNBURY,-1614.22,Travel expenses,Hume City Council (Sunbury Visitor Information Centre),12 Sep 25
11 Sep 25,-85.00,Card ending 6690,,CREDIT CARD PURCHASE,TELSTRA SERVICES MELBOURNE,-1612.22,Phone & internet,Telstra,11 Sep 25
10 Sep 25,-23.76,Card ending 8723,,CREDIT CARD PURCHASE,CARE PARK MELBOURNE,-1527.22,Parking & tolls,Care Park,10 Sep 25
10 Sep 25,200.00,Card ending 8723,,CREDIT CARD REFUND,CrownMetropolMelbourne Melbourne,-1503.46,Refund,Crown Metropol (Melbourne),10 Sep 25
10 Sep 25,-43.58,Card ending 8723,,CREDIT CARD PURCHASE,CAO TRADING PTY LTD NORTH MELBOUR,-1703.46,Groceries,IGA Xpress (North Melbourne),10 Sep 25
09 Sep 25,-185.10,Card ending 8723,,CREDIT CARD PURCHASE,Crown Mel Koko Melbourne,-1659.88,Restaurants & takeaway,Koko,09 Sep 25
09 Sep 25,-22.40,Card ending 8723,,CREDIT CARD PURCHASE,ZOUKI CAFE SALAD BAR PARKVILLE,-1474.78,Cafe & coffee,Zouki (Royal Melbourne Hospital),09 Sep 25
09 Sep 25,-47.15,Card ending 6690,,CREDIT CARD PURCHASE,SNAP FITNE* SNAP FITNE SUNBURY,-1452.38,Gym & fitness,Snap Fitness (Sunbury),09 Sep 25
09 Sep 25,-14.95,Card ending 6690,,CREDIT CARD PURCHASE,POCKETSMITH DUNEDIN,-1405.23,Uncategorised,,09 Sep 25
09 Sep 25,-0.15,Card ending     ,,FEES,NAB INTNL TRAN FEE - (SC),-1390.28,Fees,,09 Sep 25
09 Sep 25,-200.00,Card ending 8723,,CREDIT CARD PURCHASE,CrownMetropolMelbourne Melbourne,-1390.13,Accommodation,Crown Metropol (Melbourne),09 Sep 25
09 Sep 25,-784.20,Card ending 8723,,CREDIT CARD PURCHASE,DOCTORS HEALTH FND SYDNEY,-1190.13,Insurance,Doctors Health Fund,09 Sep 25
09 Sep 25,-25.00,Card ending 8723,,CREDIT CARD PURCHASE,CROWN MELBOURNE LTD SOUTHBANK,-405.93,Gambling,Crown Melbourne,09 Sep 25
08 Sep 25,-110.69,Card ending 8723,,CREDIT CARD PURCHASE,Woolworths Online BELLA VISTA,-380.93,Groceries,Woolworths Online,08 Sep 25
08 Sep 25,-2.50,Card ending 8723,,CREDIT CARD PURCHASE,EG GROUP/67 GAP ROAD SUNBURY,-270.24,Fuel,EG Group (Gap Rd Sunbury),08 Sep 25
08 Sep 25,-16.00,Card ending 8723,,CREDIT CARD PURCHASE,7-ELEVEN 1161 SUNBURY,-267.74,Fuel,7-Eleven (Sunbury),08 Sep 25
08 Sep 25,-32.25,Card ending 8723,,CREDIT CARD PURCHASE,TICKETS*THE PETTIN 0404900312,-251.74,Attractions & events,Humanitix,08 Sep 25
08 Sep 25,-240.39,Card ending 8723,,CREDIT CARD PURCHASE,Woolworths Online BELLA VISTA,-219.49,Groceries,Woolworths Online,08 Sep 25
08 Sep 25,-2.99,Card ending 6690,,CREDIT CARD PURCHASE,AD FREE FOR PRIMEVIDEO SYDNEY,20.90,Subscriptions,Amazon Prime Video,08 Sep 25
08 Sep 25,-11.50,Card ending 8723,,CREDIT CARD PURCHASE,MCDONALDS GISBORNE GISBORNE SOUT,23.89,Restaurants & takeaway,McDonald's (Gisborne),08 Sep 25
08 Sep 25,-18.99,Card ending 6690,,CREDIT CARD PURCHASE,Netflix.com Melbourne VIC,35.39,Subscriptions,Netflix,08 Sep 25
08 Sep 25,20.90,Card ending 8723,,CREDIT CARD REFUND,Woolworths Online BELLA VISTA,54.38,Refund,Woolworths Online,08 Sep 25
05 Sep 25,-9.99,Card ending 8723,,CREDIT CARD PURCHASE,APPLE.COM/BILL SYDNEY,33.48,Subscriptions,Apple (App Store),05 Sep 25
05 Sep 25,5978.77,Card ending 6690,,CREDIT CARD PAYMENT,INTERNET PAYMENT Linked Acc Trns,43.47,Internal transfers,,05 Sep 25
05 Sep 25,-55.41,Card ending 6690,,CREDIT CARD PURCHASE,BRIGHTE CAPITAL SYDNEY,-5935.30,Loans,Brighte,05 Sep 25
04 Sep 25,7000.00,Card ending 6690,,CREDIT CARD PAYMENT,INTERNET PAYMENT Linked Acc Trns,-5879.89,Internal transfers,,04 Sep 25
04 Sep 25,-250.00,Card ending 8723,,CREDIT CARD PURCHASE,EMBRYO OPTIONS SYDNEY,-12879.89,Services,Embryo Options,04 Sep 25
04 Sep 25,-140.51,Card ending 8723,,CREDIT CARD PURCHASE,HOLLARD INSURANCE CHATSWOOD,-12629.89,Insurance,Hollard Insurance,04 Sep 25
04 Sep 25,-164.64,Card ending 8723,,CREDIT CARD PURCHASE,Woolworths Online BELLA VISTA,-12489.38,Groceries,Woolworths Online,04 Sep 25
04 Sep 25,-178.92,Card ending 8723,,CREDIT CARD PURCHASE,HOLLARD INSURANCE CHATSWOOD,-12324.74,Insurance,Hollard Insurance,04 Sep 25
04 Sep 25,-120.56,Card ending 8723,,CREDIT CARD PURCHASE,HOLLARD INSURANCE CHATSWOOD,-12145.82,Insurance,Hollard Insurance,04 Sep 25
04 Sep 25,-12.99,Card ending 8723,,CREDIT CARD PURCHASE,EPI CAFE RICHMOND,-12025.26,Cafe & coffee,Zouki (Epi Cafe),04 Sep 25
03 Sep 25,-29.97,Card ending 8723,,CREDIT CARD PURCHASE,CHEMIST WAREHOUSE SUNBURY,-12012.27,Medical,Chemist Warehouse (Sunbury),03 Sep 25
03 Sep 25,-18.99,Card ending 8723,,CREDIT CARD PURCHASE,CHEMIST WAREHOUSE SUNBURY,-11982.30,Medical,Chemist Warehouse (Sunbury),03 Sep 25
03 Sep 25,-638.44,Card ending 8723,,CREDIT CARD PURCHASE,AGL SALES 0308 MELBOURNE,-11963.31,Utilities,AGL,03 Sep 25
02 Sep 25,-403.24,Card ending 6690,,CREDIT CARD PURCHASE,ZURICH AUSTRALIA LIMITED NORTH SYDNEY,-11324.87,Insurance,Zurich,02 Sep 25
02 Sep 25,-40.95,Card ending 8723,,CREDIT CARD PURCHASE,EZI*Magic Photography Mill Park,-10921.63,Services,Magic Photography,02 Sep 25
01 Sep 25,-146.93,Card ending 8723,,CREDIT CARD PURCHASE,Woolworths Online BELLA VISTA,-10880.68,Groceries,Woolworths Online,01 Sep 25
01 Sep 25,-475.00,Card ending 6690,,CREDIT CARD PURCHASE,CCWEB SDRO PARRAMATTA,-10733.75,Government,Revenue NSW (Head Office),01 Sep 25
01 Sep 25,-9.20,Card ending 8723,,CREDIT CARD PURCHASE,BUNNINGS 395000 SUNBURY,-10258.75,Home improvements,Bunnings (Sunbury),01 Sep 25
01 Sep 25,-16.99,Card ending 6690,,CREDIT CARD PURCHASE,Google YouTubePremium Barangaroo,-10249.55,Subscriptions,YouTube,01 Sep 25
01 Sep 25,-120.55,Card ending 8723,,CREDIT CARD PURCHASE,Woolworths Online BELLA VISTA,-10232.56,Groceries,Woolworths Online,01 Sep 25
01 Sep 25,-50.35,Card ending 8723,,CREDIT CARD PURCHASE,FLEXISCHOOLS*ACC TOPUP 1300361769,-10112.01,Education,Flexischools,01 Sep 25
29 Aug 25,-4.49,Card ending 8723,,CREDIT CARD PURCHASE,Google One Barangaroo,-10061.66,Electronics & technology,Google Australia,29 Aug 25
29 Aug 25,-8228.00,Card ending 6690,,CREDIT CARD PURCHASE,SPARTAN TYRE SUNBURY,-10057.17,Vehicle expenses,Spartan Tyre & Service Centre,29 Aug 25
29 Aug 25,-117.35,Card ending 8723,,CREDIT CARD PURCHASE,DR CUNNINGHAM SUNBURY,-1829.17,Uncategorised,,29 Aug 25
28 Aug 25,-35.62,Card ending 8723,,CREDIT CARD PURCHASE,QANTAS AIRW MASCOT,-1711.82,Flights,Qantas,28 Aug 25
28 Aug 25,-20.14,Card ending 8723,,CREDIT CARD PURCHASE,LINKT MELBOURNE MELBOURNE,-1676.20,Travel expenses,Linkt,28 Aug 25
28 Aug 25,-1.49,Card ending 8723,,CREDIT CARD PURCHASE,APPLE.COM/BILL SYDNEY,-1656.06,Subscriptions,Apple (App Store),28 Aug 25
28 Aug 25,-36.96,Card ending 8723,,CREDIT CARD PURCHASE,CHEMIST WAREHOUSE SUNBURY,-1654.57,Medical,Chemist Warehouse (Sunbury),28 Aug 25
28 Aug 25,-9.99,Card ending 6690,,CREDIT CARD PURCHASE,AMZNPRIMEAU MEMBERSHIP SYDNEY SOUTH,-1617.61,Subscriptions,Amazon Prime Membership,28 Aug 25
28 Aug 25,-261.65,Card ending 8723,,CREDIT CARD PURCHASE,Woolworths Online BELLA VISTA,-1607.62,Groceries,Woolworths Online,28 Aug 25
28 Aug 25,-8.80,Card ending 8723,,CREDIT CARD PURCHASE,Woolworths Online BELLA VISTA,-1345.97,Groceries,Woolworths Online,28 Aug 25
27 Aug 25,9150.38,Card ending 6690,,CREDIT CARD PAYMENT,INTERNET PAYMENT Linked Acc Trns,-1337.17,Internal transfers,,27 Aug 25
27 Aug 25,-16.45,Card ending 6690,,CREDIT CARD PURCHASE,Audible Limited AU MELBOURNE,-10487.55,Subscriptions,Audible,27 Aug 25
27 Aug 25,-36.00,Card ending 8723,,CREDIT CARD PURCHASE,BIG W/HORNE STREET SUNBURY,-10471.10,Other shopping,BIG W (Sunbury),27 Aug 25
27 Aug 25,-48.70,Card ending 8723,,CREDIT CARD PURCHASE,RAMSAY HEALTH CARE QS Parkville,-10435.10,Medical,Ramsay Health Care (Frances Perry House),27 Aug 25
26 Aug 25,-113.29,Card ending 8723,,CREDIT CARD PURCHASE,JETSTAR AI HNF7YJ WWW.JETSTAR.C,-10386.40,Flights,Jetstar,26 Aug 25
26 Aug 25,-15.00,Card ending 6690,,CREDIT CARD PURCHASE,Woolworths Online BELLA VISTA,-10273.11,Groceries,Woolworths Online,26 Aug 25
26 Aug 25,-41.15,Card ending 6690,,CREDIT CARD PURCHASE,SNAP FITNE* SNAP FITNE SUNBURY,-10258.11,Gym & fitness,Snap Fitness (Sunbury),26 Aug 25
25 Aug 25,-78.33,Card ending 8723,,CREDIT CARD PURCHASE,CHEMIST WAREHOUSE SUNBURY,-10216.96,Medical,Chemist Warehouse (Sunbury),25 Aug 25
25 Aug 25,-20.57,Card ending 6690,,CREDIT CARD PURCHASE,MICROSOFT#G108930595 MSBILL.INFO,-10138.63,Electronics & technology,Microsoft,25 Aug 25
25 Aug 25,-5.80,Card ending 8723,,CREDIT CARD PURCHASE,GILBER ENTERPRISE P/ EAST MELBOURN,-10118.06,Restaurants & takeaway,Gilber Enterprise Pty Ltd,25 Aug 25
25 Aug 25,-7.59,Card ending 8723,,CREDIT CARD PURCHASE,eBay O*24-13484-31540 Sydney,-10112.26,Other shopping,eBay,25 Aug 25
25 Aug 25,-3.99,Card ending 8723,,CREDIT CARD PURCHASE,SUNBURY MEDICAL REVIVE SUNBURY,-10104.67,Medical,Sunbury Medical Revive Pharmacy,25 Aug 25
25 Aug 25,-45.00,Card ending 8723,,CREDIT CARD PURCHASE,WILSON PARKING MEL047 MELBOURNE,-10100.68,Parking & tolls,Wilson Parking,25 Aug 25
25 Aug 25,-836.30,Card ending 8723,,CREDIT CARD PURCHASE,MELBOURNE RADIOLOGY EAST MELBOURN,-10055.68,Medical,Melbourne Radiology Clinic,25 Aug 25
25 Aug 25,-69.00,Card ending 8723,,CREDIT CARD PURCHASE,TARGET 5226 SUNBURY,-9219.38,Other shopping,Target (Sunbury),25 Aug 25
22 Aug 25,-98.02,Card ending     ,,INTEREST CHARGED,INTEREST ON PURCHASE(S),-9150.38,Fees,,22 Aug 25
22 Aug 25,-55.41,Card ending 6690,,CREDIT CARD PURCHASE,BRIGHTE CAPITAL SYDNEY,-9052.36,Loans,Brighte,22 Aug 25
22 Aug 25,-54.60,Card ending 8723,,CREDIT CARD PURCHASE,BIG W/HORNE STREET SUNBURY,-8996.95,Other shopping,BIG W (Sunbury),22 Aug 25
22 Aug 25,-13.99,Card ending 8723,,CREDIT CARD PURCHASE,SUNBURY MEDICAL REVIVE SUNBURY,-8942.35,Medical,Sunbury Medical Revive Pharmacy,22 Aug 25
22 Aug 25,-150.00,Card ending 8723,,CREDIT CARD PURCHASE,SQ *RACHAEL LUCAS Diggers Rest,-8928.36,Other shopping,Square,22 Aug 25
22 Aug 25,-832.60,Card ending 8723,,CREDIT CARD PURCHASE,MELBOURNE RADIOLOGY EAST MELBOURN,-8778.36,Medical,Melbourne Radiology Clinic,22 Aug 25
21 Aug 25,-139.91,Card ending 8723,,CREDIT CARD PURCHASE,Woolworths Online BELLA VISTA,-7945.76,Groceries,Woolworths Online,21 Aug 25
20 Aug 25,-121.90,Card ending 8723,,CREDIT CARD PURCHASE,Woolworths Online BELLA VISTA,-7805.85,Groceries,Woolworths Online,20 Aug 25
19 Aug 25,-127.84,Card ending 8723,,CREDIT CARD PURCHASE,SP THE COLLAGEN CO. TULLAMARINE,-7683.95,Personal care,The Collagen Co,19 Aug 25
18 Aug 25,-12.00,Card ending 8723,,CREDIT CARD PURCHASE,ALPNALYAS GROUP PTY LT ESSENDON,-7556.11,Restaurants & takeaway,Alpnalyas Group Pty Ltd,18 Aug 25
18 Aug 25,-189.00,Card ending 8723,,CREDIT CARD PURCHASE,SP BLUE ILLUSION ST KILDA,-7544.11,Clothing & accessories,Blue Illusion (St Kilda),18 Aug 25
18 Aug 25,-87.90,Card ending 8723,,CREDIT CARD PURCHASE,Deciem Australia Pty LimiMelbourne,-7355.11,Personal care,Deciem (Melbourne),18 Aug 25
18 Aug 25,-10.06,Card ending 8723,,CREDIT CARD PURCHASE,eBay O*19-13443-76482 Sydney,-7267.21,Other shopping,eBay,18 Aug 25
18 Aug 25,-48.00,Card ending 8723,,CREDIT CARD PURCHASE,eBay O*09-13457-01482 Sydney,-7257.15,Other shopping,eBay,18 Aug 25
15 Aug 25,-50.00,Card ending 8723,,CREDIT CARD PURCHASE,WWW.ITS4ME.COM.AU SUNBURY,-7209.15,Gym & fitness,4ME Pilates (Sunbury),15 Aug 25
15 Aug 25,-20.14,Card ending 8723,,CREDIT CARD PURCHASE,LINKT MELBOURNE MELBOURNE,-7159.15,Travel expenses,Linkt,15 Aug 25
14 Aug 25,-6.10,Card ending 8723,,CREDIT CARD PURCHASE,SMP*Matte Black 15 Essendon,-7139.01,Cafe & coffee,Matte Black,14 Aug 25
13 Aug 25,-59.99,Card ending 8723,,CREDIT CARD PURCHASE,ANC*ANCESTRY.COM.AU 800-251-838,-7132.91,Electronics & technology,Ancestry,13 Aug 25
13 Aug 25,-0.60,Card ending     ,,FEES,NAB INTNL TRAN FEE - (SC),-7072.92,Fees,,13 Aug 25
12 Aug 25,-20.14,Card ending 8723,,CREDIT CARD PURCHASE,LINKT MELBOURNE MELBOURNE,-7072.32,Travel expenses,Linkt,12 Aug 25
12 Aug 25,-110.00,Card ending 8723,,CREDIT CARD PURCHASE,RASV ASCOT VALE,-7052.18,Hobbies,The Royal Agricultural Society of Victoria,12 Aug 25
12 Aug 25,-41.15,Card ending 6690,,CREDIT CARD PURCHASE,SNAP FITNE* SNAP FITNE SUNBURY,-6942.18,Gym & fitness,Snap Fitness (Sunbury),12 Aug 25
12 Aug 25,-144.07,Card ending 8723,,CREDIT CARD PURCHASE,AGL SALES 0308 MELBOURNE,-6901.03,Utilities,AGL,12 Aug 25
12 Aug 25,-68.99,Card ending 6690,,CREDIT CARD PURCHASE,VICROADS RECURRING KEW,-6756.96,Government,VicRoads,12 Aug 25
11 Aug 25,-85.00,Card ending 6690,,CREDIT CARD PURCHASE,TELSTRA SERVICES MELBOURNE,-6687.97,Phone & internet,Telstra,11 Aug 25
11 Aug 25,-0.15,Card ending     ,,FEES,NAB INTNL TRAN FEE - (SC),-6602.97,Fees,,11 Aug 25
11 Aug 25,-5.99,Card ending 6690,,CREDIT CARD PURCHASE,Google DTN APAC Barangaroo,-6602.82,Electronics & technology,Google Australia,11 Aug 25
11 Aug 25,-14.95,Card ending 6690,,CREDIT CARD PURCHASE,POCKETSMITH DUNEDIN,-6596.83,Uncategorised,,11 Aug 25
11 Aug 25,-20.14,Card ending 8723,,CREDIT CARD PURCHASE,LINKT MELBOURNE MELBOURNE,-6581.88,Travel expenses,Linkt,11 Aug 25
11 Aug 25,-20.14,Card ending 8723,,CREDIT CARD PURCHASE,LINKT MELBOURNE MELBOURNE,-6561.74,Travel expenses,Linkt,11 Aug 25
08 Aug 25,-55.41,Card ending 6690,,CREDIT CARD PURCHASE,BRIGHTE CAPITAL SYDNEY,-6541.60,Loans,Brighte,08 Aug 25
07 Aug 25,-784.20,Card ending 8723,,CREDIT CARD PURCHASE,DOCTORS HEALTH FND SYDNEY,-6486.19,Insurance,Doctors Health Fund,07 Aug 25
07 Aug 25,9500.00,Card ending 6690,,CREDIT CARD PAYMENT,INTERNET PAYMENT Linked Acc Trns,-5701.99,Internal transfers,,07 Aug 25
06 Aug 25,-18.99,Card ending 6690,,CREDIT CARD PURCHASE,Netflix.com Melbourne VIC,-15201.99,Subscriptions,Netflix,06 Aug 25
06 Aug 25,-2.99,Card ending 6690,,CREDIT CARD PURCHASE,AD FREE FOR PRIMEVIDEO SYDNEY,-15183.00,Subscriptions,Amazon Prime Video,06 Aug 25
06 Aug 25,-178.92,Card ending 8723,,CREDIT CARD PURCHASE,HOLLARD INSURANCE CHATSWOOD,-15180.01,Insurance,Hollard Insurance,06 Aug 25
06 Aug 25,-120.56,Card ending 8723,,CREDIT CARD PURCHASE,HOLLARD INSURANCE CHATSWOOD,-15001.09,Insurance,Hollard Insurance,06 Aug 25
06 Aug 25,-199.00,Card ending 8723,,CREDIT CARD PURCHASE,BAD BACKS NOBLE PARK NO,-14880.53,Homeware,Bad Backs (Hallam - Head Office),06 Aug 25
06 Aug 25,-140.51,Card ending 8723,,CREDIT CARD PURCHASE,HOLLARD INSURANCE CHATSWOOD,-14681.53,Insurance,Hollard Insurance,06 Aug 25
05 Aug 25,-85.00,Card ending 8723,,CREDIT CARD PURCHASE,FRESHWATER PLACE CP SOUTHBANK,-14541.02,Accommodation,Freshwater Place,05 Aug 25
05 Aug 25,-354.20,Card ending 8723,,CREDIT CARD PURCHASE,NIIM Clinic Hawthorn,-14456.02,Medical,Niim Clinic,05 Aug 25
05 Aug 25,1051.04,Card ending 6690,,CREDIT CARD PAYMENT,INTERNET PAYMENT Linked Acc Trns,-14101.82,Internal transfers,,05 Aug 25
04 Aug 25,-820.47,Card ending 8723,,CREDIT CARD PURCHASE,AGL SALES 0308 MELBOURNE,-15152.86,Utilities,AGL,04 Aug 25
04 Aug 25,-403.24,Card ending 6690,,CREDIT CARD PURCHASE,ZURICH AUSTRALIA LIMITED NORTH SYDNEY,-14332.39,Insurance,Zurich,04 Aug 25
04 Aug 25,-37.10,Card ending 8723,,CREDIT CARD PURCHASE,EZI*Hume City Council Craigieburn,-13929.15,Government,Hume City Council (Craigieburn),04 Aug 25
04 Aug 25,-117.35,Card ending 8723,,CREDIT CARD PURCHASE,DR JIM LUPTON SUNBURY,-13892.05,Uncategorised,,04 Aug 25
04 Aug 25,-67.75,Card ending 8723,,CREDIT CARD PURCHASE,SP SOMA CACAO PTY LTD. WONGALING BEA,-13774.70,Groceries,Soma Cacao,04 Aug 25
04 Aug 25,-30.90,Card ending 8723,,CREDIT CARD PURCHASE,Peterborough House Peterborough,-13706.95,Accommodation,Peterborough House,04 Aug 25
04 Aug 25,-3.32,Card ending 8723,,CREDIT CARD PURCHASE,INNOVATIVE RETAIL PTY BOX HILL SOUT,-13676.05,Attractions & events,Ride On! Entertainment,04 Aug 25
04 Aug 25,-43.15,Card ending 8723,,CREDIT CARD PURCHASE,TARGET 5226 SUNBURY,-13672.73,Other shopping,Target (Sunbury),04 Aug 25
04 Aug 25,-71.15,Card ending 8723,,CREDIT CARD PURCHASE,TARGET 5226 SUNBURY,-13629.58,Other shopping,Target (Sunbury),04 Aug 25
01 Aug 25,-26.93,Card ending 8723,,CREDIT CARD PURCHASE,PIT STOP BROS APOLLO BAY,-13558.43,Restaurants & takeaway,Pit Stop (Apollo Bay),01 Aug 25
01 Aug 25,-63.41,Card ending 8723,,CREDIT CARD PURCHASE,Pin* Goonawarra Medical CEssendon,-13531.50,Other shopping,Pin Payments,01 Aug 25
31 Jul 25,-2.00,Card ending 8723,,CREDIT CARD PURCHASE,HUME CITY COUNCIL SUNBURY,-13468.09,Travel expenses,Hume City Council (Sunbury Visitor Information Centre),31 Jul 25
31 Jul 25,-16.99,Card ending 6690,,CREDIT CARD PURCHASE,Google YouTubePremium Barangaroo,-13466.09,Subscriptions,YouTube,31 Jul 25
30 Jul 25,-177.44,Card ending 8723,,CREDIT CARD PURCHASE,Woolworths Online BELLA VISTA,-13449.10,Groceries,Woolworths Online,30 Jul 25
30 Jul 25,-27.27,Card ending 8723,,CREDIT CARD PURCHASE,Melbourne Airport Melbourne Air,-13271.66,Flights,Melbourne Airport,30 Jul 25
